date,iso_week,open,high,low,close,volume,market_capitalization
2013-06-06,2013-22,121.9,123.1,117.25,118.0,,1371300000.0
2013-06-07,2013-22,118.97,119.0,106.42,111.5,,1338880000.0
2013-06-08,2013-22,111.0,111.42,107.3,108.3,,1249630000.0
2013-06-09,2013-23,107.89,108.99,88.5,100.0,,1215130000.0
2013-06-10,2013-23,100.44,110.1,95.0,106.35,,1131570000.0
2013-06-11,2013-23,106.35,109.6,104.0,108.9,,1198640000.0
2013-06-12,2013-23,109.0,111.79,106.73,108.15,,1229000000.0
2013-06-13,2013-23,108.78,110.3,100.53,104.0,,1227030000.0
2013-06-14,2013-23,103.95,104.7,98.0,99.98,,1173060000.0
2013-06-15,2013-23,100.0,103.7,98.0,99.99,,1128950000.0
2013-06-16,2013-24,99.8,101.6,98.95,99.51,,1127120000.0
2013-06-17,2013-24,99.9,102.21,99.0,101.7,,1128720000.0
2013-06-18,2013-24,101.95,111.11,101.03,107.4,,1152250000.0
2013-06-19,2013-24,107.05,110.22,105.75,108.25,,1210260000.0
2013-06-20,2013-24,108.25,114.3,107.5,110.15,,1224210000.0
2013-06-21,2013-24,111.29,114.99,107.69,109.5,,1259000000.0
2013-06-22,2013-24,109.5,109.96,107.51,108.3,,1239210000.0
2013-06-23,2013-25,108.2,108.8,106.23,107.6,,1224980000.0
2013-06-24,2013-25,107.9,108.33,100.98,102.74,,1222030000.0
2013-06-25,2013-25,102.09,106.47,101.01,103.95,,1156610000.0
2013-06-26,2013-25,103.33,105.49,102.79,104.0,,1171050000.0
2013-06-27,2013-25,104.0,104.0,101.1,101.44,,1179110000.0
2013-06-28,2013-25,101.74,101.74,92.33,94.65,,1153880000.0
2013-06-29,2013-25,94.66,99.99,93.0,94.99,,1074010000.0
2013-06-30,2013-26,95.0,98.12,94.22,96.61,,1078260000.0
2013-07-01,2013-26,97.51,97.66,86.3,88.05,,1107130000.0
2013-07-02,2013-26,88.05,92.3,87.51,90.13,,1000070000.0
2013-07-03,2013-26,90.41,90.98,76.98,77.53,,1027160000.0
2013-07-04,2013-26,78.89,83.11,72.0,80.53,,896693000.0
2013-07-05,2013-26,79.99,80.0,65.53,68.43,,909526000.0
2013-07-06,2013-26,68.5,75.0,66.82,70.28,,779255000.0
2013-07-07,2013-27,68.75,74.56,66.62,74.56,,782352000.0
2013-07-08,2013-27,76.5,80.0,72.6,76.52,,870912000.0
2013-07-09,2013-27,76.0,78.3,72.52,76.69,,865585000.0
2013-07-10,2013-27,76.72,87.0,76.2,86.76,,874138000.0
2013-07-11,2013-27,88.0,90.28,85.08,88.98,,1003090000.0
2013-07-12,2013-27,88.98,104.0,88.17,93.59,,1014640000.0
2013-07-13,2013-27,93.99,98.25,88.06,98.13,,1072140000.0
2013-07-14,2013-28,98.7,98.7,92.86,94.69,,1126260000.0
2013-07-15,2013-28,93.61,101.9,93.11,98.4,,1068520000.0
2013-07-16,2013-28,98.89,99.86,96.14,97.45,,1129260000.0
2013-07-17,2013-28,96.71,99.97,96.18,98.5,,1104760000.0
2013-07-18,2013-28,98.5,98.8,86.2,90.58,,1125660000.0
2013-07-19,2013-28,90.07,95.2,87.8,92.17,,1029670000.0
2013-07-20,2013-28,92.0,93.1,89.27,89.39,,1052140000.0
2013-07-21,2013-29,89.82,91.95,88.0,90.76,,1027640000.0
2013-07-22,2013-29,92.0,92.0,90.08,91.61,,1053000000.0
2013-07-23,2013-29,91.6,96.82,91.6,95.56,,1048820000.0
2013-07-24,2013-29,95.56,95.99,93.0,94.51,,1094490000.0
2013-07-25,2013-29,94.5,97.33,93.87,96.9,,1082800000.0
2013-07-26,2013-29,96.95,97.47,96.0,96.02,,1111160000.0
2013-07-27,2013-29,96.02,97.0,93.0,94.12,,1100900000.0
2013-07-28,2013-30,94.4,100.58,94.0,99.76,,1082750000.0
2013-07-29,2013-30,98.6,102.5,98.45,101.2,,1131340000.0
2013-07-30,2013-30,101.49,107.99,100.47,107.99,,1164940000.0
2013-07-31,2013-30,107.95,111.34,103.88,106.09,,1239630000.0
2013-08-01,2013-30,106.21,108.0,103.01,104.0,,1220190000.0
2013-08-02,2013-30,104.86,108.0,101.21,104.5,,1205070000.0
2013-08-03,2013-30,104.5,105.78,102.0,104.0,,1201490000.0
2013-08-04,2013-31,104.95,105.95,103.52,105.14,,1207100000.0
2013-08-05,2013-31,105.12,107.77,105.0,106.22,,1209520000.0
2013-08-06,2013-31,106.72,107.38,105.56,106.75,,1228440000.0
2013-08-07,2013-31,106.75,106.75,106.75,106.75,,1229100000.0
2013-08-08,2013-31,106.75,106.75,101.26,103.0,,1229100000.0
2013-08-09,2013-31,103.07,105.75,101.94,102.8,,1187920000.0
2013-08-10,2013-31,102.8,103.9,102.41,103.0,,1185310000.0
2013-08-11,2013-32,103.0,105.19,102.75,105.0,,1188150000.0
2013-08-12,2013-32,105.0,108.0,103.5,106.64,,1211790000.0
2013-08-13,2013-32,106.99,109.35,104.65,109.0,,1235340000.0
2013-08-14,2013-32,109.56,115.0,108.0,112.56,,1265450000.0
2013-08-15,2013-32,112.56,113.25,109.0,109.99,,1300660000.0
2013-08-16,2013-32,110.0,112.3,108.52,108.99,,1271470000.0
2013-08-17,2013-32,108.99,113.75,108.22,113.5,,1260350000.0
2013-08-18,2013-33,112.75,114.69,112.0,113.5,,1304320000.0
2013-08-19,2013-33,113.38,123.06,111.77,119.0,,1312160000.0
2013-08-20,2013-33,119.0,123.01,117.51,121.2,,1377730000.0
2013-08-21,2013-33,121.21,124.91,119.68,123.3,,1403890000.0
2013-08-22,2013-33,123.3,123.5,120.6,121.15,,1428700000.0
2013-08-23,2013-33,122.0,122.0,118.44,118.5,,1414290000.0
2013-08-24,2013-33,118.51,121.39,118.02,120.05,,1374420000.0
2013-08-25,2013-34,119.6,122.99,119.17,122.11,,1387640000.0
2013-08-26,2013-34,122.11,122.75,119.93,120.06,,1417200000.0
2013-08-27,2013-34,120.07,127.24,120.07,126.5,,1394010000.0
2013-08-28,2013-34,126.48,127.32,122.62,122.62,,1468960000.0
2013-08-29,2013-34,122.62,123.7,122.21,122.39,,1424680000.0
2013-08-30,2013-34,122.35,135.75,120.99,133.49,,1422120000.0
2013-08-31,2013-34,133.09,140.89,132.72,135.35,,1547640000.0
2013-09-01,2013-35,135.14,145.81,134.81,138.34,,1572230000.0
2013-09-02,2013-35,138.63,146.5,134.89,135.85,,1613600000.0
2013-09-03,2013-35,135.61,138.34,133.0,136.77,,1579180000.0
2013-09-04,2013-35,136.53,144.5,123.61,126.74,,1590550000.0
2013-09-05,2013-35,126.76,131.44,121.83,126.43,,1477250000.0
2013-09-06,2013-35,126.49,127.34,119.15,119.15,,1474670000.0
2013-09-07,2013-35,118.89,125.94,118.46,124.15,,1386610000.0
2013-09-08,2013-36,124.13,124.72,120.49,121.66,,1448180000.0
2013-09-09,2013-36,121.86,129.06,119.75,127.11,,1422180000.0
2013-09-10,2013-36,127.27,129.74,125.9,125.91,,1485960000.0
2013-09-11,2013-36,125.89,137.83,123.27,135.25,,1470450000.0
2013-09-12,2013-36,135.55,136.08,131.81,133.13,,1583960000.0
2013-09-13,2013-36,132.83,137.58,132.27,134.98,,1552880000.0
2013-09-14,2013-36,135.01,135.85,128.87,129.22,,1579050000.0
2013-09-15,2013-37,129.4,131.44,128.26,130.37,,1514140000.0
2013-09-16,2013-37,130.86,132.72,129.77,131.72,,1531820000.0
2013-09-17,2013-37,131.59,132.76,124.89,131.66,,1540880000.0
2013-09-18,2013-37,131.71,133.2,130.54,131.47,,1542870000.0
2013-09-19,2013-37,131.37,131.77,128.45,129.65,,1539430000.0
2013-09-20,2013-37,129.7,135.62,126.68,127.04,,1520470000.0
2013-09-21,2013-37,126.95,128.61,126.24,127.43,,1488870000.0
2013-09-22,2013-38,127.87,133.94,126.59,129.12,,1500260000.0
2013-09-23,2013-38,128.98,132.72,125.66,125.95,,1513940000.0
2013-09-24,2013-38,126.05,127.46,125.39,127.25,,1480210000.0
2013-09-25,2013-38,127.38,129.69,127.33,128.22,,1496510000.0
2013-09-26,2013-38,128.21,134.93,127.32,128.38,,1506920000.0
2013-09-27,2013-38,128.94,134.74,128.49,133.78,,1516020000.0
2013-09-28,2013-38,133.77,135.63,132.56,134.78,,1573400000.0
2013-09-29,2013-39,134.9,140.61,134.71,137.34,,1587290000.0
2013-09-30,2013-39,137.15,138.35,130.27,133.0,,1614350000.0
2013-10-01,2013-39,132.68,134.63,131.55,132.18,,1562270000.0
2013-10-02,2013-39,132.05,133.59,102.25,114.13,,1555470000.0
2013-10-03,2013-39,114.45,123.63,111.82,123.63,,1348700000.0
2013-10-04,2013-39,123.41,130.09,123.41,129.01,,1454900000.0
2013-10-05,2013-39,128.63,130.44,128.03,128.55,,1517020000.0
2013-10-06,2013-40,128.36,129.66,126.15,129.0,,1514540000.0
2013-10-07,2013-40,129.43,130.27,126.36,126.94,,1527760000.0
2013-10-08,2013-40,126.74,127.47,124.71,126.0,,1496500000.0
2013-10-09,2013-40,125.85,131.75,125.58,130.69,,1486510000.0
2013-10-10,2013-40,130.67,131.5,129.26,130.59,,1544020000.0
2013-10-11,2013-40,130.75,131.81,129.64,130.9,,1545600000.0
2013-10-12,2013-40,130.9,135.66,130.56,135.19,,1547970000.0
2013-10-13,2013-41,135.19,138.66,134.55,138.13,,1599430000.0
2013-10-14,2013-41,139.27,144.12,138.9,140.52,,1648470000.0
2013-10-15,2013-41,140.77,145.39,139.13,145.24,,1667100000.0
2013-10-16,2013-41,145.65,152.23,142.43,142.55,,1725840000.0
2013-10-17,2013-41,142.41,147.42,142.41,146.25,,1688200000.0
2013-10-18,2013-41,146.37,155.96,145.57,155.96,,1735750000.0
2013-10-19,2013-41,155.91,177.48,155.7,172.42,,1849630000.0
2013-10-20,2013-42,171.66,174.91,168.95,174.61,,2037440000.0
2013-10-21,2013-42,174.8,184.82,174.8,182.21,,2075580000.0
2013-10-22,2013-42,182.65,196.27,182.65,193.76,,2169750000.0
2013-10-23,2013-42,193.36,213.62,192.38,213.62,,2298160000.0
2013-10-24,2013-42,214.3,217.42,168.52,198.23,,2548230000.0
2013-10-25,2013-42,197.69,198.87,168.5,186.69,,2351780000.0
2013-10-26,2013-42,187.45,188.41,175.75,177.32,,2231070000.0
2013-10-27,2013-43,176.6,196.44,176.6,196.44,,2102730000.0
2013-10-28,2013-43,196.21,198.62,192.06,198.55,,2337100000.0
2013-10-29,2013-43,198.55,204.79,198.55,204.39,,2365840000.0
2013-10-30,2013-43,204.39,209.16,199.97,199.97,,2436240000.0
2013-10-31,2013-43,199.83,205.18,198.85,204.0,,2382870000.0
2013-11-01,2013-43,203.9,206.65,202.13,206.18,,2432470000.0
2013-11-02,2013-43,205.81,207.76,201.65,206.22,,2456330000.0
2013-11-03,2013-44,205.99,215.05,203.99,215.05,,2459520000.0
2013-11-04,2013-44,214.66,231.01,213.94,229.1,,2564070000.0
2013-11-05,2013-44,229.21,250.66,226.22,245.24,,2738980000.0
2013-11-06,2013-44,244.78,263.0,244.78,262.5,,2926100000.0
2013-11-07,2013-44,261.68,304.17,261.55,296.41,,3129190000.0
2013-11-08,2013-44,297.85,338.66,296.93,338.11,,3562790000.0
2013-11-09,2013-44,338.58,370.82,319.71,339.11,,4051120000.0
2013-11-10,2013-45,348.82,350.7,277.24,326.62,,4174930000.0
2013-11-11,2013-45,325.41,351.27,311.78,342.44,,3896130000.0
2013-11-12,2013-45,343.06,362.81,342.8,360.33,,4109060000.0
2013-11-13,2013-45,360.97,414.05,359.8,407.37,,4325400000.0
2013-11-14,2013-45,406.41,425.9,395.19,420.2,,4871600000.0
2013-11-15,2013-45,419.41,437.89,396.11,417.95,,5029340000.0
2013-11-16,2013-45,417.28,450.26,415.57,440.22,,5005530000.0
2013-11-17,2013-46,440.96,500.58,440.24,492.11,,5291730000.0
2013-11-18,2013-46,496.58,703.78,494.94,703.56,,5961500000.0
2013-11-19,2013-46,712.76,806.11,456.39,584.61,,8559550000.0
2013-11-20,2013-46,577.98,599.65,448.45,590.83,,6943300000.0
2013-11-21,2013-46,594.32,733.4,577.29,722.43,,7142030000.0
2013-11-22,2013-46,724.07,780.85,668.13,771.44,,8703970000.0
2013-11-23,2013-46,771.7,844.97,771.7,797.82,,9279850000.0
2013-11-24,2013-47,795.63,807.36,722.87,774.25,,9570990000.0
2013-11-25,2013-47,773.02,810.68,754.43,799.11,,9302270000.0
2013-11-26,2013-47,805.73,928.54,800.8,928.1,,9699360000.0
2013-11-27,2013-47,923.85,1001.96,891.68,1001.96,,11124900000.0
2013-11-28,2013-47,1003.38,1077.56,962.17,1031.95,,12087000000.0
2013-11-29,2013-47,1042.01,1146.97,1000.64,1131.97,,12557100000.0
2013-11-30,2013-47,1129.37,1156.14,1106.61,1129.43,,13614700000.0
2013-12-01,2013-48,1128.92,1133.08,801.82,955.85,,13614300000.0
2013-12-02,2013-48,951.42,1055.42,938.41,1043.33,,11478300000.0
2013-12-03,2013-48,1046.4,1096.0,1011.21,1078.28,,12628300000.0
2013-12-04,2013-48,1077.58,1156.12,1070.16,1151.17,,13010000000.0
2013-12-05,2013-48,1152.73,1154.36,897.11,1045.11,,13922300000.0
2013-12-06,2013-48,1042.38,1042.38,829.45,829.45,,12593900000.0
2013-12-07,2013-48,835.32,854.64,640.22,698.23,,10096600000.0
2013-12-08,2013-49,697.31,802.51,670.88,795.87,,8431860000.0
2013-12-09,2013-49,793.8,921.93,780.9,893.19,,9602480000.0
2013-12-10,2013-49,892.32,997.23,892.32,988.51,,10798200000.0
2013-12-11,2013-49,989.07,1001.58,834.23,878.48,,11973700000.0
2013-12-12,2013-49,882.78,901.94,844.95,873.26,,10690600000.0
2013-12-13,2013-49,874.98,941.79,860.05,892.58,,10599700000.0
2013-12-14,2013-49,899.85,904.65,858.36,872.6,,10904900000.0
2013-12-15,2013-50,875.29,886.16,825.0,876.12,,10611600000.0
2013-12-16,2013-50,880.33,882.25,668.25,705.97,,10676600000.0
2013-12-17,2013-50,706.37,754.83,630.88,682.12,,8570390000.0
2013-12-18,2013-50,678.2,679.32,420.51,522.7,,8232040000.0
2013-12-19,2013-50,519.06,707.23,502.89,691.96,,6302970000.0
2013-12-20,2013-50,694.22,729.16,595.33,625.32,,8433870000.0
2013-12-21,2013-50,619.9,654.27,579.17,605.66,,7533740000.0
2013-12-22,2013-51,601.78,666.74,585.64,617.18,,7315940000.0
2013-12-23,2013-51,613.06,680.91,611.04,673.41,,7455670000.0
2013-12-24,2013-51,672.36,684.39,645.71,665.58,,8179730000.0
2013-12-25,2013-51,666.31,682.7,649.48,682.21,,8108930000.0
2013-12-26,2013-51,683.94,777.75,683.94,761.98,,8326270000.0
2013-12-27,2013-51,763.28,777.51,713.6,735.07,46862700.0,9295570000.0
2013-12-28,2013-51,737.98,747.06,705.35,727.83,32505800.0,8990850000.0
2013-12-29,2013-52,728.05,748.61,714.44,745.05,19011300.0,8872600000.0
2013-12-30,2013-52,741.35,766.6,740.24,756.13,20707700.0,9037000000.0
2013-12-31,2013-52,760.32,760.58,738.17,754.01,20897300.0,9268240000.0
2014-01-01,2014-00,754.97,775.35,754.97,771.4,22489400.0,9203030000.0
2014-01-02,2014-00,773.44,820.31,767.21,802.39,38489500.0,9428180000.0
2014-01-03,2014-00,802.85,834.15,789.12,818.72,37810100.0,9786680000.0
2014-01-04,2014-00,823.27,859.51,801.67,859.51,38005000.0,10035600000.0
2014-01-05,2014-01,858.55,952.4,854.52,933.53,72898500.0,10465700000.0
2014-01-06,2014-01,936.05,1017.12,905.71,953.29,85565700.0,11410400000.0
2014-01-07,2014-01,946.49,965.74,802.0,802.0,81311700.0,11571400000.0
2014-01-08,2014-01,795.99,870.68,776.18,842.72,74175600.0,9734800000.0
2014-01-09,2014-01,841.47,864.36,804.14,846.86,59998600.0,10295100000.0
2014-01-10,2014-01,846.69,871.19,822.6,868.48,31876800.0,10363300000.0
2014-01-11,2014-01,867.32,921.48,861.72,913.95,44754200.0,10619900000.0
2014-01-12,2014-02,919.6,928.52,851.17,863.22,39623500.0,11264800000.0
2014-01-13,2014-02,860.19,861.29,806.05,841.2,45580900.0,10541500000.0
2014-01-14,2014-02,843.17,855.69,825.66,833.27,20829800.0,10336500000.0
2014-01-15,2014-02,833.12,872.81,830.86,860.9,28107200.0,10216700000.0
2014-01-16,2014-02,860.29,866.16,835.63,835.63,19149300.0,10553800000.0
2014-01-17,2014-02,834.49,842.91,797.63,814.64,39031700.0,10241200000.0
2014-01-18,2014-02,816.07,841.49,816.07,840.0,18052700.0,10018200000.0
2014-01-19,2014-03,839.66,870.96,825.53,870.96,24365700.0,10311500000.0
2014-01-20,2014-03,871.39,886.39,853.87,870.2,27652700.0,10704800000.0
2014-01-21,2014-03,869.65,881.2,855.93,863.91,18997300.0,10687700000.0
2014-01-22,2014-03,867.21,870.15,837.36,845.59,18453700.0,10661400000.0
2014-01-23,2014-03,845.46,851.57,819.32,822.04,15607100.0,10398000000.0
2014-01-24,2014-03,822.43,822.43,783.58,797.07,34912000.0,10118400000.0
2014-01-25,2014-03,796.24,861.45,792.96,853.61,24303900.0,9799920000.0
2014-01-26,2014-04,853.68,897.02,844.86,885.28,32224300.0,10510400000.0
2014-01-27,2014-04,884.6,893.0,757.11,771.39,49233600.0,10894400000.0
2014-01-28,2014-04,774.02,832.5,766.98,812.51,44875500.0,9535950000.0
2014-01-29,2014-04,809.96,836.87,809.85,826.0,17984400.0,9981850000.0
2014-01-30,2014-04,826.02,830.5,799.06,819.03,29918200.0,10182900000.0
2014-01-31,2014-04,818.43,831.87,812.6,829.92,17107900.0,10092900000.0
2014-02-01,2014-04,828.61,853.52,827.11,832.58,19668700.0,10222300000.0
2014-02-02,2014-05,832.9,844.72,820.67,825.37,11300900.0,10279200000.0
2014-02-03,2014-05,824.08,826.48,807.22,823.83,13940100.0,10174100000.0
2014-02-04,2014-05,823.77,840.17,820.94,827.96,16609700.0,10174000000.0
2014-02-05,2014-05,829.96,837.32,811.91,811.91,22395100.0,10254100000.0
2014-02-06,2014-05,815.59,819.81,770.59,781.55,50108700.0,10079900000.0
2014-02-07,2014-05,783.2,783.2,654.35,712.4,113643000.0,9683190000.0
2014-02-08,2014-05,699.57,721.82,661.87,673.92,38742600.0,8651930000.0
2014-02-09,2014-06,671.46,712.27,655.25,682.9,39311400.0,8307340000.0
2014-02-10,2014-06,681.32,703.71,550.5,681.03,112758000.0,8431680000.0
2014-02-11,2014-06,683.5,712.46,636.66,672.17,72745200.0,8461320000.0
2014-02-12,2014-06,672.38,672.9,643.04,651.72,25367600.0,8326420000.0
2014-02-13,2014-06,651.08,657.99,601.91,605.24,38588100.0,8065550000.0
2014-02-14,2014-06,601.17,691.72,541.04,661.99,102506000.0,7449940000.0
2014-02-15,2014-06,660.9,661.84,632.84,650.92,26709200.0,8193290000.0
2014-02-16,2014-07,651.3,665.1,584.17,616.63,40061700.0,8077340000.0
2014-02-17,2014-07,614.23,656.95,607.31,626.27,31948400.0,7620580000.0
2014-02-18,2014-07,627.16,645.76,612.54,626.6,20015100.0,7783430000.0
2014-02-19,2014-07,625.97,631.77,618.7,623.03,13897800.0,7771210000.0
2014-02-20,2014-07,623.09,627.73,556.14,556.14,46905000.0,7738580000.0
2014-02-21,2014-07,556.88,582.96,530.47,574.16,47308100.0,6918730000.0
2014-02-22,2014-07,574.24,614.48,558.58,605.42,31254000.0,7136600000.0
2014-02-23,2014-08,606.47,639.91,599.7,605.82,31434400.0,7539890000.0
2014-02-24,2014-08,606.04,607.61,538.7,546.32,57893900.0,7537080000.0
2014-02-25,2014-08,540.24,541.38,420.41,538.71,126314000.0,6721330000.0
2014-02-26,2014-08,537.04,603.8,532.58,582.69,64642700.0,6683680000.0
2014-02-27,2014-08,581.65,594.05,566.62,578.77,25540800.0,7241560000.0
2014-02-28,2014-08,579.7,584.14,545.17,549.26,28076100.0,7219990000.0
2014-03-01,2014-08,549.92,573.38,539.29,565.61,18668100.0,6851590000.0
2014-03-02,2014-09,567.23,570.48,553.27,559.79,7950760.0,7069290000.0
2014-03-03,2014-09,562.56,702.91,560.52,667.76,96056900.0,7013060000.0
2014-03-04,2014-09,668.24,696.22,655.68,666.78,55344600.0,8332950000.0
2014-03-05,2014-09,666.24,674.28,646.28,665.51,22461900.0,8310510000.0
2014-03-06,2014-09,664.52,669.77,649.79,663.86,16068100.0,8291650000.0
2014-03-07,2014-09,664.31,665.34,616.35,629.15,34150800.0,8291900000.0
2014-03-08,2014-09,629.66,635.14,604.46,617.45,18654200.0,7862010000.0
2014-03-09,2014-10,616.31,643.95,612.35,636.96,15396500.0,7697910000.0
2014-03-10,2014-10,636.33,644.76,615.02,627.79,20639800.0,7950820000.0
2014-03-11,2014-10,627.95,638.42,618.84,634.11,11732500.0,7848450000.0
2014-03-12,2014-10,631.91,648.03,629.51,632.1,18621200.0,7900600000.0
2014-03-13,2014-10,633.62,644.2,630.85,638.14,11634900.0,7924860000.0
2014-03-14,2014-10,638.14,639.53,627.21,628.8,11913800.0,7983980000.0
2014-03-15,2014-10,629.37,639.14,627.3,636.12,4342080.0,7876360000.0
2014-03-16,2014-11,636.5,637.52,628.11,631.11,5277290.0,7968200000.0
2014-03-17,2014-11,630.92,632.68,616.86,622.37,14648200.0,7901040000.0
2014-03-18,2014-11,621.84,622.39,603.8,614.83,24011500.0,7789810000.0
2014-03-19,2014-11,613.9,622.0,609.1,609.89,14228900.0,7692450000.0
2014-03-20,2014-11,609.75,609.75,587.49,588.77,20572900.0,7642910000.0
2014-03-21,2014-11,588.29,604.59,561.81,571.49,38414100.0,7376710000.0
2014-03-22,2014-11,571.18,572.55,554.39,565.04,17360700.0,7164770000.0
2014-03-23,2014-12,565.76,570.24,560.88,561.27,9288400.0,7099230000.0
2014-03-24,2014-12,562.51,586.56,551.77,583.41,22706900.0,7061380000.0
2014-03-25,2014-12,585.03,585.44,572.61,583.92,14020100.0,7346810000.0
2014-03-26,2014-12,583.48,590.03,570.96,580.83,16401100.0,7329720000.0
2014-03-27,2014-12,580.26,580.56,471.24,471.24,62225400.0,7291520000.0
2014-03-28,2014-12,477.14,526.02,473.23,495.67,58828300.0,5997850000.0
2014-03-29,2014-12,501.71,504.86,489.73,491.17,11147100.0,6308890000.0
2014-03-30,2014-13,492.37,492.37,444.18,460.27,42958300.0,6193560000.0
2014-03-31,2014-13,462.3,483.02,443.37,457.0,28254000.0,5816910000.0
2014-04-01,2014-13,457.0,495.34,457.0,478.38,35685800.0,5752280000.0
2014-04-02,2014-13,479.14,495.05,431.27,437.14,49647600.0,6032970000.0
2014-04-03,2014-13,436.44,449.56,414.89,444.72,40765500.0,5497550000.0
2014-04-04,2014-13,445.66,454.65,429.09,447.53,22925500.0,5615980000.0
2014-04-05,2014-13,446.68,463.57,444.2,461.91,13404500.0,5630890000.0
2014-04-06,2014-14,463.4,466.32,452.97,460.5,10241400.0,5843670000.0
2014-04-07,2014-14,461.47,462.56,445.12,449.42,15616600.0,5821160000.0
2014-04-08,2014-14,447.61,457.42,446.11,453.09,10921600.0,5648000000.0
2014-04-09,2014-14,453.18,455.73,441.93,442.73,13204400.0,5719730000.0
2014-04-10,2014-14,442.26,443.37,358.73,365.18,55868300.0,5583670000.0
2014-04-11,2014-14,363.71,429.77,351.27,420.95,62562800.0,4593400000.0
2014-04-12,2014-14,420.89,439.61,415.79,421.12,19226500.0,5317310000.0
2014-04-13,2014-15,421.46,427.4,395.25,414.06,22493500.0,5326230000.0
2014-04-14,2014-15,414.83,469.75,407.37,458.79,50730200.0,5244350000.0
2014-04-15,2014-15,458.37,519.0,453.54,515.59,49561000.0,5797070000.0
2014-04-16,2014-15,522.18,542.38,502.78,527.39,56480100.0,6606460000.0
2014-04-17,2014-15,529.07,533.52,484.87,495.96,34025500.0,6695650000.0
2014-04-18,2014-15,495.8,498.6,472.74,479.64,19042400.0,6276700000.0
2014-04-19,2014-15,479.58,503.56,470.56,501.56,19588200.0,6073340000.0
2014-04-20,2014-16,501.75,510.87,490.84,498.17,12103100.0,6356070000.0
2014-04-21,2014-16,497.74,510.57,493.2,495.77,15171400.0,6307460000.0
2014-04-22,2014-16,495.45,503.22,487.58,487.92,11670900.0,6280640000.0
2014-04-23,2014-16,488.36,493.25,485.82,491.3,9814530.0,6192560000.0
2014-04-24,2014-16,490.82,500.46,482.95,500.46,13009400.0,6225860000.0
2014-04-25,2014-16,500.09,500.3,442.95,461.45,46856500.0,6345230000.0
2014-04-26,2014-16,461.7,464.54,449.1,458.6,12214600.0,5860330000.0
2014-04-27,2014-17,457.24,459.33,436.39,436.39,10949500.0,5805530000.0
2014-04-28,2014-17,430.72,447.53,422.94,440.29,23876600.0,5470650000.0
2014-04-29,2014-17,439.98,451.64,435.18,447.21,16401400.0,5590030000.0
2014-04-30,2014-17,446.89,451.1,436.7,447.64,15244900.0,5679680000.0
2014-05-01,2014-17,447.63,460.61,447.63,457.76,12871800.0,5690670000.0
